10010	IGNORE	(Cookie No HttpOnly Flag)
10011	IGNORE	(Cookie Without Secure Flag)
10015	IGNORE	(Incomplete or No Cache-control and Pragma HTTP Header Set)
10017	IGNORE	(Cross-Domain JavaScript Source File Inclusion)
10019	IGNORE	(Content-Type Header Missing)
10020	IGNORE	(X-Frame-Options Header Not Set)
10021	IGNORE	(X-Content-Type-Options Header Missing)
10023	IGNORE	(Information Disclosure - Debug Error Messages)
10024	IGNORE	(Information Disclosure - Sensitive Information in URL)
10025	IGNORE	(Information Disclosure - Sensitive Information in HTTP Referrer Header)
10026	IGNORE	(HTTP Parameter Override)
10027	IGNORE	(Information Disclosure - Suspicious Comments)
10028	IGNORE	(Open Redirect)
10029	IGNORE	(Cookie Poisoning)
10030	IGNORE	(User Controllable Charset)
10031	IGNORE	(User Controllable HTML Element Attribute (Potential XSS))
10032	IGNORE	(Viewstate Scanner)
10033	IGNORE	(Directory Browsing)
10034	IGNORE	(Heartbleed OpenSSL Vulnerability)
10035	IGNORE	(Strict-Transport-Security Header Not Set)
10036	IGNORE	(HTTP Server Response Header)
10037	IGNORE	(Server Leaks Information via "X-Powered-By" HTTP Response Header Field(s))
10038	IGNORE	(Content Security Policy (CSP) Header Not Set)
10039	IGNORE	(X-Backend-Server Header Information Leak)
10040	IGNORE	(Secure Pages Include Mixed Content)
10041	IGNORE	(HTTP to HTTPS Insecure Transition in Form Post)
10042	IGNORE	(HTTPS to HTTP Insecure Transition in Form Post)
10043	IGNORE	(User Controllable JavaScript Event (XSS))
10044	IGNORE	(Big Redirect Detected (Potential Sensitive Information Leak))
10045	IGNORE	(Source Code Disclosure - /WEB-INF folder)
10046	IGNORE	(Source Code Disclosure - /META-INF folder)
10047	IGNORE	(Source Code Disclosure - Java)
10048	IGNORE	(Remote Code Execution - Shell Shock)
10049	IGNORE	(Content Cacheability)
10050	IGNORE	(Retrieved from Cache)
10051	IGNORE	(Relative Path Confusion)
10052	IGNORE	(X-ChromeLogger-Data Header Information Leak)
10053	IGNORE	(Apache Range Header DoS (CVE-2011-3192))
10054	IGNORE	(Cookie Without SameSite Attribute)
10055	IGNORE	(CSP Scanner)
10056	IGNORE	(X-Debug-Token Information Leak)
10057	IGNORE	(Username Hash Found)
10058	IGNORE	(GET for POST)
10059	IGNORE	(Source Code Disclosure - CVE-2012-1823)
10060	IGNORE	(Source Code Disclosure - Perl)
10061	IGNORE	(Source Code Disclosure - PHP)
10062	IGNORE	(PII Disclosure)
10063	IGNORE	(Feature Policy Header Not Set)
10096	IGNORE	(Timestamp Disclosure)
10097	IGNORE	(Hash Disclosure)
10098	IGNORE	(Cross-Domain Misconfiguration)
10099	IGNORE	(Source Code Disclosure)
10100	IGNORE	(Source Code Disclosure - SVN)
10101	IGNORE	(Source Code Disclosure - Git)
10102	IGNORE	(Source Code Disclosure - File Inclusion)
10103	IGNORE	(Clickjacking)
10104	IGNORE	(User Agent Fuzzer)
10105	IGNORE	(Weak Authentication Method)
10106	IGNORE	(HTTP Only Site)
10107	IGNORE	(Httpoxy - Proxy Header Misuse)
10108	IGNORE	(Reverse Tabnabbing)
10109	IGNORE	(Modern Web Application)
10110	IGNORE	(Dangerous JS Functions)
10111	IGNORE	(Authentication Request Identified)
10112	IGNORE	(Session Fixation)
10113	IGNORE	(Verification.Net)
10114	IGNORE	(Email Disclosure)
10115	IGNORE	(Hash Disclosure - Mac OSX salted SHA-1)
10116	IGNORE	(Hash Disclosure - MD2)
10117	IGNORE	(Hash Disclosure - MD4)
10118	IGNORE	(Hash Disclosure - MD5)
10119	IGNORE	(Hash Disclosure - SHA1)
10120	IGNORE	(Hash Disclosure - SHA224)
10121	IGNORE	(Hash Disclosure - SHA256)
10122	IGNORE	(Hash Disclosure - SHA384)
10123	IGNORE	(Hash Disclosure - SHA512)
10200	IGNORE	(Password Autocomplete in Browser)
40003	IGNORE	(CRLF Injection)
40008	IGNORE	(Parameter Tampering)
40009	IGNORE	(Server Side Include)
40012	IGNORE	(Cross Site Scripting (Reflected))
40013	IGNORE	(Session Fixation)
40014	IGNORE	(Cross Site Scripting (Persistent))
40016	IGNORE	(Cross Site Scripting (Persistent) - Prime)
40017	IGNORE	(Cross Site Scripting (Persistent) - Spider)
40018	IGNORE	(SQL Injection)
40019	IGNORE	(SQL Injection - MySQL)
40020	IGNORE	(SQL Injection - Hypersonic SQL)
40021	IGNORE	(SQL Injection - Oracle)
40022	IGNORE	(SQL Injection - PostgreSQL)
40023	IGNORE	(Possible Username Enumeration)
40024	IGNORE	(SQL Injection - SQLite)
